Name,Flex,Frame,Shaft,Joint,Length,Weight/Grip,Stringing advice,Color(s),Made In,Item Code
ASTROX CLEAR,Hi-Flex,"Graphite, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,Yellow,,AXC
ASTROX FEEL,Hi-Flex,"Graphite, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,Orange,,AXF
ASTROX 01 ABILITY,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Red,,AX01A
ASTROX 01 CLEAR,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Blue,,AX01C
ASTROX 01 FEEL,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Lime,,AX01F
ASTROX 7 DG,Medium,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,Black / Blue,,AX7DG
ASTROX 1 DG,Hi-Flex,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,,,Blue / Black,,AX1DG
ASTROX E 13,,Aluminum,Graphite,,,,,"Black / Blue, Black / Bright Red",,AXE13
ARCSABER 7 PRO,Medium,"HM Graphite, POCKETING BOOSTER","HM Graphite, Ultra PE FIBER","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,,,Gray / Yellow,Japan,ARC7-P
ARCSABER 7 TOUR,Medium,"HM Graphite, POCKETING BOOSTER",HM Graphite,"Built-in T-Joint, T-ANCHOR",10 mm longer,,,Gray / Yellow,,ARC7-T
ARCSABER 7 PLAY,Hi-Flex,Graphite,Graphite,"Built-in T-Joint, T-ANCHOR",10 mm longer,,,Gray / Yellow,,ARC7-PL
ARCSABER 11 PRO,STIFF,"HM Graphite, POCKETING BOOSTER","HM Graphite, SUPER HMG,  ULTRA PE FIBER","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,,,Grayish Pearl,Japan,ARC11-P
ARCSABER 11 TOUR,STIFF,"HM Graphite, POCKETING BOOSTER","HM Graphite, SUPER HMG","Built-in T-Joint, T-ANCHOR",10 mm longer,,,Grayish Pearl,,ARC11-T
ARCSABER 11 PLAY,Medium,Graphite,Graphite,,10 mm longer,,,Grayish Pearl,,ARC11-PL
NANOFLARE 700,Medium,"HM Graphite, M40X, SUPER HMG",HM Graphite,NEW Built-in T-Joint,10 mm longer,,,"Magenta, Cyan",Japan,NF-700
NANOFLARE 370 SPEED,STIFF,"HM Graphite, Nanocell NEO, EX-HMG",HM Graphite,,10 mm longer,,,Blue,,NF-370SP
NANOFLARE 270 SPEED,Medium,"HM Graphite, Nanocell NEO, SUPER HMG",HM Graphite,Built-in T-Joint,10 mm longer,,,Purple,,NF-270SP
NANOFLARE 170 LIGHT,Hi-Flex,"Graphite, Nanocell NEO, HM Graphite",Graphite,Built-in T-Joint,10 mm longer,,,"Black / Orange, Black / Blue",,NF-170LT
NANOFLARE 70,Hi-Flex,"HM Graphite, M40X, SUPER HMG, VDM",HM Graphite,NEW Built-in T-Joint,10 mm longer,,,Coral Pink,Japan,NF-70
NANOFLARE 555,STIFF,"HM Graphite, Nanocell NEO, EX-HMG, Solid Titanium",HM Graphite,Built-in T-Joint,10 mm longer,,,Matte White,,NF-555
NANOFLARE 500,Medium,"HM Graphite, Nanocell NEO, EX-HMG",HM Graphite,Built-in T-Joint,10 mm longer,,,Matte Black,,NF-500
NANOFLARE 001 ABILITY,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Flash Red,,NF-001A
NANOFLARE 001 CLEAR,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Cyan,,NF-001C
NANOFLARE 001 FEEL,Hi-Flex,Graphite,Graphite,,10 mm longer,,,Green,,NF-001F
NANOFLARE E13,,Aluminum,Graphite,,,,,"Blue / Red, Turquoise / Yellow",,NF-E13
DUORA Z-STRIKE,Extra Stiff,"HM Graphite, NANOMETRIC DR, Hyper-MG","HM Graphite, NANOMETRIC, EX-HMG","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,,,Black / White,Japan,DUO-ZS
NANORAY GlanZ,Hi-Flex,"HM Graphite, REXIL FIBER, NANOMETRIC","HM Graphite, NANOMETRIC, X-FULLERENE",NEW Built-in T-Joint,10 mm longer,,,Navy / Turquoise,Japan,NR-GZ
ISOMETRIC TR 1,Medium,Graphite,Graphite,,10 mm longer,,,Blue,,ISO-TR1
ISOMETRIC TR 0,Medium,Graphite,Graphite,,10 mm longer,,,Green,,ISO-TR0
ISOMETRIC LITE 3,Medium,Graphite,Graphite,,10 mm longer,,,"Red, Yellow, Cyan",,ISOL3
MUSCLE POWER 8 LT,,Aluminum,"Graphite, Nylon",,,,,Orange,,MP8LT
MUSCLE POWER 5 LT,,Aluminum,Steel,,,,,White / Turquoise,,MP5LT
MUSCLE POWER 2,,Aluminum,Steel,,,,,"White / Red , White / Yellow",,MP2
MUSCLE POWER 1,,Aluminum,Steel,,,,,"White / Black , White / Red",,MP1
B 7000 MDM,,Aluminum,Steel,,,,,"Red, Cyan",,B7000MDM
B 4000,,Aluminum,Steel,,,,,"Mint, Corn Yellow",,B4000
NANOFLARE JUNIOR,Hi-Flex,"Graphite, Nanocell NEO, HM Graphite",Graphite,Built-in T-Joint,,,,Cyan,,NF-JR
MUSCLE POWER 2 JUNIOR,,Aluminum,Steel,,21 in.,,,White / Lime Yellow,,MP2JR
