Name,Description,Color(s),Material(s),Made In,Item Code
SLIM SPORTS TOWEL,,Blue / Green,100% Cotton,Japan,AC1112
SPORTS TOWEL,,Blue / Green,100% Cotton,Japan,AC1111
SPORTS TOWEL,,"Bright Pink, Aqua, Mist Blue",100% Cotton,Japan,AC1081
HAND TOWER,,"Olive Green, Midnight Navy",100% Polyester,,46050N
FACE TOWEL,,"Black, White",100% Cotton,,AC1109
