Name,Flex,Frame,Shaft,Joint,Length,Weight / Grip,Stringing Advice,Color(s),Made In,Item Code
ASTROX 100ZZ,Extra Stiff,"HM Graphite, Namd, Tungsten, Black Micro Core, Nanometric","HM Graphite, NamdTM",NEW Built-in T-Joint,10 mm longer,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"Kurenai, Dark Navy",Japan,AX100ZZ
ASTROX 100 TOUR,Extra Stiff,"HM Graphite, Nanomesh Neo, Tungsten","HM Graphite, NamdTM",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Kurenai,,AX100T
ASTROX 100 GAME,Medium,"HM Graphite, Nanomesh Neo, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,Kurenai,,AX100G
ASTROX 99 PRO,STIFF,"HM Graphite, Namd, VOLUME CUT RESIN, Tungsten","HM Graphite, NamdTM",NEW Built-in T-Joint,10 mm longer,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"White Tiger, Cherry Sunburst",Japan,AX99-P
ASTROX 99 TOUR,STIFF,"HM Graphite, NANOMESH NEO, VOLUME CUT RESIN, Tungsten","HM Graphite, NamdTM",Built-in T-Joint,,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"White Tiger, Cherry Sunburst",,AX99-T
ASTROX 99 GAME,Medium,"HM Graphite, NANOMESH NEO, VOLUME CUT RESIN, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg.83g) G5, 63U (Avg.88g) G4, 5, 6",4U: 20 - 28 lbs3U: 21 - 29 lbs,"White Tiger, Cherry Sunburst",,AX99-G
ASTROX 99 PLAY,Medium,Graphite,Graphite,,,"4U (Avg.83g) G5, 6",4U: 20 - 28 lbs,"White Tiger, Cherry Sunburst",,AX99-PL
ASTROX 70,Hi-Flex,"HM Graphite, VDM, Tungsten","HM Graphite, NamdTM",NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6",4U 18-26lbs,Saxe,,AX70
ASTROX 22 RX,STIFF,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"2F (Avg. 68g) G5, 6",2F: 20 - 28 lbs,Black / Gold,,AX22RX
ASTROX 22 F,Medium,"HM Graphite, NANOMETRIC DR, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,3F (Avg. 63g) G5,3F: 19 - 26 lbs,Black / Lime,,AX22F
ASTROX 22 LT,Medium,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",,10 mm longer,3F (Avg. 63g) G5,3F: 19 - 26 lbs,Black / Red,,AX22LT
ASTROX NEXTAGE,Medium,"HM Graphite, VDM, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,4U(Avg:83g)5,4U: 20 - 28 lbs,Black / Green,,AXNT
ASTROX ABILITY,Hi-Flex,"Graphite, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Magenta,,AXA
ASTROX CLEAR,Hi-Flex,"Graphite, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Yellow,,AXC
ASTROX FEEL,Hi-Flex,"Graphite, Tungsten","Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Orange,,AXF
ASTROX 01 ABILITY,Hi-Flex,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4,5",4U: 20 - 28 lbs,Red,,AX01A
ASTROX 01 CLEAR,Hi-Flex,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Blue,,AX01C
ASTROX 01 FEEL,Hi-Flex,Graphite,Graphite,,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Lime,,AX01F
ASTROX 7 DG,Medium,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 35 lbs,Black / Blue,,AX7DG
ASTROX 1 DG,Hi-Flex,"HM Graphite, Tungsten","HM Graphite, NANOMESH NEO",Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 35 lbs,Blue / Black,,AX1DG
ASTROX E 13,,Aluminum,Graphite,,,"3U (Avg. 88g) G4,5",3U: 16 - 20 lbs,"Black / Blue, Black / Bright Red",,AXE13
ARCSABER 7 PRO,Medium,"HM Graphite, POCKETING BOOSTER","HM Graphite, Ultra PE FIBER","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,"4U (Avg. 83g) G5, 6",4U: 19 - 27 lbs,Gray / Yellow,Japan,ARC7-P
ARCSABER 7 TOUR,Medium,"HM Graphite, POCKETING BOOSTER",HM Graphite,"Built-in T-Joint, T-ANCHOR",10 mm longer,"4U (Avg. 83g) G5, 6",4U: 19 - 27 lbs,Gray / Yellow,,ARC7-T
ARCSABER 7 PLAY,Hi-Flex,Graphite,Graphite,"Built-in T-Joint, T-ANCHOR",10 mm longer,"4U (Avg. 83g) G5, 6",4U: 19 - 27 lbs,Gray / Yellow,,ARC7-PL
ARCSABER 11 PRO,STIFF,"HM Graphite, POCKETING BOOSTER","HM Graphite, SUPER HMG,  ULTRA PE FIBER","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 19 - 27 lbs3U: 20 - 28 lbs,Grayish Pearl,Japan,ARC11-P
ARCSABER 11 TOUR,STIFF,"HM Graphite, POCKETING BOOSTER","HM Graphite, SUPER HMG","Built-in T-Joint, T-ANCHOR",10 mm longer,"4U (Avg. 83g) G5, 63U (Avg. 88g) G4, 5, 6",4U: 19 - 27 lbs3U: 20 - 28 lbs,Grayish Pearl,,ARC11-T
ARCSABER 11 PLAY,Medium,Graphite,Graphite,,10 mm longer,"4U (Avg.83g) G5, 6",4U: 19 - 27 lbs,Grayish Pearl,,ARC11-PL
NANOFLARE 700,Medium,"HM Graphite, M40X, SUPER HMG",HM Graphite,NEW Built-in T-Joint,10 mm longer,"5U (Avg. 78g) G5, 64U (Avg. 83g) G4, 5, 6",5U: 19 - 27 lbs4U: 20 - 28 lbs,"Magenta, Cyan",Japan,NF-700
NANOFLARE 370 SPEED,STIFF,"HM Graphite, Nanocell NEO, EX-HMG",HM Graphite,,10 mm longer,"5U (Avg. 78g) G4, 54U (Avg. 83g) G4, 5",5U: 19 - 26 lbs4U: 20 - 27 lbs,Blue,,NF-370SP
NANOFLARE 270 SPEED,Medium,"HM Graphite, Nanocell NEO, SUPER HMG",HM Graphite,Built-in T-Joint,10 mm longer,"5U (Avg. 78g) G4, 54U (Avg. 83g) G4, 5",5U: 19 - 26 lbs4U: 20 - 27 lbs,Purple,,NF-270SP
NANOFLARE 170 LIGHT,Hi-Flex,"Graphite, Nanocell NEO, HM Graphite",Graphite,Built-in T-Joint,10 mm longer,"5U (Avg. 78g) G4, 5, 6",5U: 19 - 26 lbs,"Black / Orange, Black / Blue",,NF-170LT
NANOFLARE 70,Hi-Flex,"HM Graphite, M40X, SUPER HMG, VDM",HM Graphite,NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G5,6",4U 18-26lbs,Coral Pink,Japan,NF-70
NANOFLARE 555,STIFF,"HM Graphite, Nanocell NEO, EX-HMG, Solid Titanium",HM Graphite,Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5",4U: 20 - 28 lbs,Matte White,,NF-555
NANOFLARE 500,Medium,"HM Graphite, Nanocell NEO, EX-HMG",HM Graphite,Built-in T-Joint,10 mm longer,"5U (Avg. 78g) G4, 54U (Avg. 83g) G4, 5",5U: 19 - 26 lbs4U: 20 - 27 lbs,Matte Black,,NF-500
NANOFLARE 001 ABILITY,Hi-Flex,Graphite,Graphite,,10 mm longer,"5U (Avg. 78g) G4, 5",5U: 20 - 27 lbs,Flash Red,,NF-001A
NANOFLARE 001 CLEAR,Hi-Flex,Graphite,Graphite,,10 mm longer,"5U (Avg. 78g) G4, 5",5U: 20 - 27 lbs,Cyan,,NF-001C
NANOFLARE 001 FEEL,Hi-Flex,Graphite,Graphite,,10 mm longer,"5U (Avg. 78g) G4, 5",5U: 20 - 27 lbs,Green,,NF-001F
NANOFLARE E13,,Aluminum,Graphite,,,"3U (Avg. 88g) G4,5",3U: 16 - 20 lbs,"Blue / Red, Turquoise / Yellow",,NF-E13
DUORA Z-STRIKE,Extra Stiff,"HM Graphite, NANOMETRIC DR, Hyper-MG","HM Graphite, NANOMETRIC, EX-HMG","NEW Built-in T-Joint, T-ANCHOR",10 mm longer,"3U (Avg. 88g) G4, 52U (Avg. 93g) G4, 5",3U: 20 - 28 lbs2U: 21 - 29 lbs,Black / White,Japan,DUO-ZS
NANORAY GlanZ,Hi-Flex,"HM Graphite, REXIL FIBER, NANOMETRIC","HM Graphite, NANOMETRIC, X-FULLERENE",NEW Built-in T-Joint,10 mm longer,"4U (Avg. 83g) G4, 5, 6",4U: 17 - 22 lbs,Navy / Turquoise,Japan,NR-GZ
ISOMETRIC TR 1,Medium,Graphite,Graphite,,10 mm longer,"(Avg. 118g) G4, 5","G4, 5: 20 - 30 lbs",Blue,,ISO-TR1
ISOMETRIC TR 0,Medium,Graphite,Graphite,,10 mm longer,"(Avg. 150g) G4, 5","G4, 5: 20 - 30 lbs",Green,,ISO-TR0
ISOMETRIC LITE 3,Medium,Graphite,Graphite,,10 mm longer,"3U (Avg. 88g) G4, 5",3U: 19 - 24 lbs,"Red, Yellow, Cyan",,ISOL3
MUSCLE POWER 8 LT,,Aluminum,"Graphite, Nylon",,,3U (Avg. 88g) G5,3U: 16 - 20 lbs,Orange,,MP8LT
MUSCLE POWER 5 LT,,Aluminum,Steel,,,,2U: 16 - 20 lbs,White / Turquoise,,MP5LT
MUSCLE POWER 2,,Aluminum,Steel,,,U (105g and below) G4,U: 16 - 20 lbs,"White / Red , White / Yellow",,MP2
MUSCLE POWER 1,,Aluminum,Steel,,,U (105g and below) G4,U: 16 - 20 lbs,"White / Black , White / Red",,MP1
B 7000 MDM,,Aluminum,Steel,,,U (105g and below) G4,U: 16 - 20 lbs,"Red, Cyan",,B7000MDM
B 4000,,Aluminum,Steel,,,U (105g and below) G4,U: 16 - 20 lbs,"Mint, Corn Yellow",,B4000
NANOFLARE JUNIOR,Hi-Flex,"Graphite, Nanocell NEO, HM Graphite",Graphite,Built-in T-Joint,,4U (Avg. 83g) G7,4U: 17 - 22 lbs,Cyan,,NF-JR
MUSCLE POWER 2 JUNIOR,,Aluminum,Steel,,21 in.,4U (Avg. 83g) G5,4U: 14 - 18 lbs,White / Lime Yellow,,MP2JR
