Name,Color(s),Material(s),Item Code
WRIST BAND,"Black, White","58% Cotton, 34% Nylon, 8% Polyurethane",AC494
HEADBAND,"Black, White, Navy Blue","Cotton, Nylon, Polyurethane",AC259
WRISTBAND,"Red, Blue, Black, White, Pink, Light Yellow","Cotton, Nylon, Polyurethane",AC493
WRISTBAND,"Black, White, Navy Blue, Aqua Blue, Bright Orange, Soft Yellow, Midnight Navy, Sunset Red, Geranium Pink","Cotton, Nylon, Polyurethane",AC492
